MASS (MeV)   | SCALE      | k    | TOPOLOGY        | LIFETIME (s) | STATUS
60179.23     | LEPTON     | 578  | Perfect (0)     | STABLE       | PREDICTION (Stable)
60204.66     | BARYON     | 385  | Perfect (0)     | STABLE       | PREDICTION (Stable)
60221.72     | MESON      | 860  | Perfect (0)     | STABLE       | PREDICTION (Stable)
60224.30     | LEPTON     | 587  | Sphere (-2.0)   | 3.2e-20      | PREDICTION (Resonance)
60283.35     | LEPTON     | 579  | Perfect (0)     | STABLE       | PREDICTION (Stable)
60291.74     | MESON      | 861  | Perfect (0)     | STABLE       | PREDICTION (Stable)
60294.31     | LEPTON     | 577  | Spinor (+0.5)   | 1.4e-19      | PREDICTION (Resonance)
60318.08     | LEPTON     | 571  | Sphere (+2.0)   | 3.7e-20      | PREDICTION (Resonance)
60328.96     | BARYON     | 383  | Vector (+1.0)   | 5.3e-19      | PREDICTION (Resonance)
60361.03     | BARYON     | 386  | Perfect (0)     | STABLE       | PREDICTION (Stable)
60361.77     | MESON      | 862  | Perfect (0)     | STABLE       | PREDICTION (Stable)
60386.26     | BARYON     | 389  | Vector (-1.0)   | 4.9e-19      | PREDICTION (Resonance)
60387.46     | LEPTON     | 580  | Perfect (0)     | STABLE       | PREDICTION (Stable)
60431.79     | MESON      | 863  | Perfect (0)     | STABLE       | PREDICTION (Stable)
60491.58     | LEPTON     | 581  | Perfect (0)     | STABLE       | PREDICTION (Stable)
60501.82     | MESON      | 864  | Perfect (0)     | STABLE       | PREDICTION (Stable)
60513.50     | LEPTON     | 577  | Vector (+1.0)   | 6.9e-20      | PREDICTION (Resonance)
60517.41     | BARYON     | 387  | Perfect (0)     | STABLE       | PREDICTION (Stable)
60571.84     | MESON      | 865  | Perfect (0)     | STABLE       | PREDICTION (Stable)
60595.70     | LEPTON     | 582  | Perfect (0)     | STABLE       | PREDICTION (Stable)
60608.21     | BARYON     | 389  | Spinor (-0.5)   | 9.8e-19      | PREDICTION (Resonance)
60641.87     | MESON      | 866  | Perfect (0)     | STABLE       | PREDICTION (Stable)
60670.29     | LEPTON     | 587  | Vector (-1.0)   | 6.3e-20      | PREDICTION (Resonance)
60673.79     | BARYON     | 388  | Perfect (0)     | STABLE       | PREDICTION (Stable)
60699.81     | LEPTON     | 583  | Perfect (0)     | STABLE       | PREDICTION (Stable)
60711.89     | MESON      | 867  | Perfect (0)     | STABLE       | PREDICTION (Stable)
60766.01     | BARYON     | 383  | Sphere (+2.0)   | 2.7e-19      | PREDICTION (Resonance)
60781.92     | MESON      | 868  | Perfect (0)     | STABLE       | PREDICTION (Stable)
60803.93     | LEPTON     | 584  | Perfect (0)     | STABLE       | PREDICTION (Stable)
60830.16     | BARYON     | 389  | Perfect (0)     | STABLE       | PREDICTION (Stable)
60839.88     | LEPTON     | 593  | Sphere (-2.0)   | 3.0e-20      | PREDICTION (Resonance)
60851.94     | MESON      | 869  | Perfect (0)     | STABLE       | PREDICTION (Stable)
60893.28     | LEPTON     | 587  | Spinor (-0.5)   | 1.3e-19      | PREDICTION (Resonance)
60908.04     | LEPTON     | 585  | Perfect (0)     | STABLE       | PREDICTION (Stable)
60921.97     | MESON      | 870  | Perfect (0)     | STABLE       | PREDICTION (Stable)
60951.89     | LEPTON     | 577  | Sphere (+2.0)   | 3.5e-20      | PREDICTION (Resonance)
60986.54     | BARYON     | 390  | Perfect (0)     | STABLE       | PREDICTION (Stable)
60991.99     | MESON      | 871  | Perfect (0)     | STABLE       | PREDICTION (Stable)
61012.16     | LEPTON     | 586  | Perfect (0)     | STABLE       | PREDICTION (Stable)
61052.11     | BARYON     | 389  | Spinor (+0.5)   | 9.8e-19      | PREDICTION (Resonance)
61062.02     | MESON      | 872  | Perfect (0)     | STABLE       | PREDICTION (Stable)
61116.28     | LEPTON     | 587  | Perfect (0)     | STABLE       | PREDICTION (Stable)
61132.04     | MESON      | 873  | Perfect (0)     | STABLE       | PREDICTION (Stable)
61142.91     | BARYON     | 391  | Perfect (0)     | STABLE       | PREDICTION (Stable)
61175.11     | BARYON     | 397  | Sphere (-2.0)   | 2.2e-19      | PREDICTION (Resonance)
61202.07     | MESON      | 874  | Perfect (0)     | STABLE       | PREDICTION (Stable)
61220.39     | LEPTON     | 588  | Perfect (0)     | STABLE       | PREDICTION (Stable)
61272.10     | MESON      | 875  | Perfect (0)     | STABLE       | PREDICTION (Stable)
61274.06     | BARYON     | 389  | Vector (+1.0)   | 4.9e-19      | PREDICTION (Resonance)
61290.43     | LEPTON     | 593  | Vector (-1.0)   | 6.0e-20      | PREDICTION (Resonance)
61299.29     | BARYON     | 392  | Perfect (0)     | STABLE       | PREDICTION (Stable)
61324.51     | LEPTON     | 589  | Perfect (0)     | STABLE       | PREDICTION (Stable)
61339.27     | LEPTON     | 587  | Spinor (+0.5)   | 1.3e-19      | PREDICTION (Resonance)
61342.12     | MESON      | 876  | Perfect (0)     | STABLE       | PREDICTION (Stable)
61412.15     | MESON      | 877  | Perfect (0)     | STABLE       | PREDICTION (Stable)
61428.63     | LEPTON     | 590  | Perfect (0)     | STABLE       | PREDICTION (Stable)
61455.46     | LEPTON     | 599  | Sphere (-2.0)   | 2.8e-20      | PREDICTION (Resonance)
61455.66     | BARYON     | 393  | Perfect (0)     | STABLE       | PREDICTION (Stable)
61482.17     | MESON      | 878  | Perfect (0)     | STABLE       | PREDICTION (Stable)
61515.70     | LEPTON     | 593  | Spinor (-0.5)   | 1.2e-19      | PREDICTION (Resonance)
61532.74     | LEPTON     | 591  | Perfect (0)     | STABLE       | PREDICTION (Stable)
61552.20     | MESON      | 879  | Perfect (0)     | STABLE       | PREDICTION (Stable)
61562.26     | LEPTON     | 587  | Vector (+1.0)   | 6.3e-20      | PREDICTION (Resonance)
61612.04     | BARYON     | 394  | Perfect (0)     | STABLE       | PREDICTION (Stable)
61622.22     | MESON      | 880  | Perfect (0)     | STABLE       | PREDICTION (Stable)
61628.14     | BARYON     | 397  | Vector (-1.0)   | 4.4e-19      | PREDICTION (Resonance)
61636.86     | LEPTON     | 592  | Perfect (0)     | STABLE       | PREDICTION (Stable)
61660.66     | LEPTON     | 601  | Sphere (-2.0)   | 2.8e-20      | PREDICTION (Resonance)
61692.25     | MESON      | 881  | Perfect (0)     | STABLE       | PREDICTION (Stable)
61717.96     | BARYON     | 389  | Sphere (+2.0)   | 2.5e-19      | PREDICTION (Resonance)
61740.97     | LEPTON     | 593  | Perfect (0)     | STABLE       | PREDICTION (Stable)
61762.27     | MESON      | 882  | Perfect (0)     | STABLE       | PREDICTION (Stable)
61768.42     | BARYON     | 395  | Perfect (0)     | STABLE       | PREDICTION (Stable)
61791.49     | BARYON     | 401  | Sphere (-2.0)   | 2.1e-19      | PREDICTION (Resonance)
61832.30     | MESON      | 883  | Perfect (0)     | STABLE       | PREDICTION (Stable)
61845.09     | LEPTON     | 594  | Perfect (0)     | STABLE       | PREDICTION (Stable)
61854.65     | BARYON     | 397  | Spinor (-0.5)   | 8.9e-19      | PREDICTION (Resonance)
61902.32     | MESON      | 884  | Perfect (0)     | STABLE       | PREDICTION (Stable)
61910.57     | LEPTON     | 599  | Vector (-1.0)   | 5.7e-20      | PREDICTION (Resonance)
61924.79     | BARYON     | 396  | Perfect (0)     | STABLE       | PREDICTION (Stable)
61949.21     | LEPTON     | 595  | Perfect (0)     | STABLE       | PREDICTION (Stable)
61966.25     | LEPTON     | 593  | Spinor (+0.5)   | 1.2e-19      | PREDICTION (Resonance)
61972.35     | MESON      | 885  | Perfect (0)     | STABLE       | PREDICTION (Stable)
62008.25     | LEPTON     | 587  | Sphere (+2.0)   | 3.2e-20      | PREDICTION (Resonance)
62042.37     | MESON      | 886  | Perfect (0)     | STABLE       | PREDICTION (Stable)
62053.32     | LEPTON     | 596  | Perfect (0)     | STABLE       | PREDICTION (Stable)
62081.17     | BARYON     | 397  | Perfect (0)     | STABLE       | PREDICTION (Stable)
62112.40     | MESON      | 887  | Perfect (0)     | STABLE       | PREDICTION (Stable)
62117.28     | LEPTON     | 601  | Vector (-1.0)   | 5.6e-20      | PREDICTION (Resonance)
