MASS (MeV)   | SCALE      | k    | TOPOLOGY        | LIFETIME (s) | STATUS
35238.26     | BARYON     | 227  | Vector (-1.0)   | 7.3e-18      | PREDICTION (Resonance)
35287.41     | BARYON     | 229  | Sphere (-2.0)   | 3.5e-18      | PREDICTION (Resonance)
35292.73     | MESON      | 504  | Perfect (0)     | STABLE       | PREDICTION (Stable)
35295.43     | LEPTON     | 339  | Perfect (0)     | STABLE       | PREDICTION (Stable)
35340.92     | BARYON     | 226  | Perfect (0)     | STABLE       | PREDICTION (Stable)
35343.24     | LEPTON     | 337  | Vector (+1.0)   | 1.0e-18      | PREDICTION (Resonance)
35362.75     | MESON      | 505  | Perfect (0)     | STABLE       | PREDICTION (Stable)
35367.77     | BARYON     | 227  | Spinor (-0.5)   | 1.4e-17      | PREDICTION (Resonance)
35380.73     | BARYON     | 223  | Sphere (+2.0)   | 4.0e-18      | PREDICTION (Resonance)
35399.55     | LEPTON     | 340  | Perfect (0)     | STABLE       | PREDICTION (Stable)
35432.78     | MESON      | 506  | Perfect (0)     | STABLE       | PREDICTION (Stable)
35497.29     | BARYON     | 227  | Perfect (0)     | STABLE       | PREDICTION (Stable)
35502.80     | MESON      | 507  | Perfect (0)     | STABLE       | PREDICTION (Stable)
35503.66     | LEPTON     | 341  | Perfect (0)     | STABLE       | PREDICTION (Stable)
35548.73     | BARYON     | 229  | Vector (-1.0)   | 6.9e-18      | PREDICTION (Resonance)
35572.83     | MESON      | 508  | Perfect (0)     | STABLE       | PREDICTION (Stable)
35599.29     | LEPTON     | 337  | Sphere (+2.0)   | 5.1e-19      | PREDICTION (Resonance)
35601.08     | LEPTON     | 347  | Sphere (-2.0)   | 4.4e-19      | PREDICTION (Resonance)
35607.78     | LEPTON     | 342  | Perfect (0)     | STABLE       | PREDICTION (Stable)
35626.81     | BARYON     | 227  | Spinor (+0.5)   | 1.5e-17      | PREDICTION (Resonance)
35642.85     | MESON      | 509  | Perfect (0)     | STABLE       | PREDICTION (Stable)
35653.67     | BARYON     | 228  | Perfect (0)     | STABLE       | PREDICTION (Stable)
35679.38     | BARYON     | 229  | Spinor (-0.5)   | 1.4e-17      | PREDICTION (Resonance)
35711.90     | LEPTON     | 343  | Perfect (0)     | STABLE       | PREDICTION (Stable)
35712.88     | MESON      | 510  | Perfect (0)     | STABLE       | PREDICTION (Stable)
35756.33     | BARYON     | 227  | Vector (+1.0)   | 7.3e-18      | PREDICTION (Resonance)
35782.90     | MESON      | 511  | Perfect (0)     | STABLE       | PREDICTION (Stable)
35806.27     | LEPTON     | 349  | Sphere (-2.0)   | 4.2e-19      | PREDICTION (Resonance)
35810.04     | BARYON     | 229  | Perfect (0)     | STABLE       | PREDICTION (Stable)
35816.01     | LEPTON     | 344  | Perfect (0)     | STABLE       | PREDICTION (Stable)
35852.93     | MESON      | 512  | Perfect (0)     | STABLE       | PREDICTION (Stable)
35864.72     | LEPTON     | 347  | Vector (-1.0)   | 8.7e-19      | PREDICTION (Resonance)
35903.78     | BARYON     | 233  | Sphere (-2.0)   | 3.2e-18      | PREDICTION (Resonance)
35920.13     | LEPTON     | 345  | Perfect (0)     | STABLE       | PREDICTION (Stable)
35922.95     | MESON      | 513  | Perfect (0)     | STABLE       | PREDICTION (Stable)
35940.70     | BARYON     | 229  | Spinor (+0.5)   | 1.4e-17      | PREDICTION (Resonance)
35966.42     | BARYON     | 230  | Perfect (0)     | STABLE       | PREDICTION (Stable)
35992.98     | MESON      | 514  | Perfect (0)     | STABLE       | PREDICTION (Stable)
35996.54     | LEPTON     | 347  | Spinor (-0.5)   | 1.7e-18      | PREDICTION (Resonance)
36015.36     | BARYON     | 227  | Sphere (+2.0)   | 3.7e-18      | PREDICTION (Resonance)
36024.25     | LEPTON     | 346  | Perfect (0)     | STABLE       | PREDICTION (Stable)
36063.00     | MESON      | 515  | Perfect (0)     | STABLE       | PREDICTION (Stable)
36071.36     | BARYON     | 229  | Vector (+1.0)   | 7.0e-18      | PREDICTION (Resonance)
36071.43     | LEPTON     | 349  | Vector (-1.0)   | 8.5e-19      | PREDICTION (Resonance)
36122.80     | BARYON     | 231  | Perfect (0)     | STABLE       | PREDICTION (Stable)
36128.36     | LEPTON     | 347  | Perfect (0)     | STABLE       | PREDICTION (Stable)
36133.03     | MESON      | 516  | Perfect (0)     | STABLE       | PREDICTION (Stable)
36169.66     | BARYON     | 233  | Vector (-1.0)   | 6.4e-18      | PREDICTION (Resonance)
36203.06     | MESON      | 517  | Perfect (0)     | STABLE       | PREDICTION (Stable)
36204.01     | LEPTON     | 349  | Spinor (-0.5)   | 1.7e-18      | PREDICTION (Resonance)
36216.66     | LEPTON     | 353  | Sphere (-2.0)   | 4.0e-19      | PREDICTION (Resonance)
36232.48     | LEPTON     | 348  | Perfect (0)     | STABLE       | PREDICTION (Stable)
36260.18     | LEPTON     | 347  | Spinor (+0.5)   | 1.7e-18      | PREDICTION (Resonance)
36273.08     | MESON      | 518  | Perfect (0)     | STABLE       | PREDICTION (Stable)
36279.17     | BARYON     | 232  | Perfect (0)     | STABLE       | PREDICTION (Stable)
36302.61     | BARYON     | 233  | Spinor (-0.5)   | 1.3e-17      | PREDICTION (Resonance)
36332.68     | BARYON     | 229  | Sphere (+2.0)   | 3.5e-18      | PREDICTION (Resonance)
36336.59     | LEPTON     | 349  | Perfect (0)     | STABLE       | PREDICTION (Stable)
36343.11     | MESON      | 519  | Perfect (0)     | STABLE       | PREDICTION (Stable)
36392.00     | LEPTON     | 347  | Vector (+1.0)   | 8.8e-19      | PREDICTION (Resonance)
36413.13     | MESON      | 520  | Perfect (0)     | STABLE       | PREDICTION (Stable)
36435.55     | BARYON     | 233  | Perfect (0)     | STABLE       | PREDICTION (Stable)
36440.71     | LEPTON     | 350  | Perfect (0)     | STABLE       | PREDICTION (Stable)
36469.17     | LEPTON     | 349  | Spinor (+0.5)   | 1.7e-18      | PREDICTION (Resonance)
36483.16     | MESON      | 521  | Perfect (0)     | STABLE       | PREDICTION (Stable)
36484.86     | LEPTON     | 353  | Vector (-1.0)   | 8.0e-19      | PREDICTION (Resonance)
36544.83     | LEPTON     | 351  | Perfect (0)     | STABLE       | PREDICTION (Stable)
36553.18     | MESON      | 522  | Perfect (0)     | STABLE       | PREDICTION (Stable)
36568.49     | BARYON     | 233  | Spinor (+0.5)   | 1.3e-17      | PREDICTION (Resonance)
36591.92     | BARYON     | 234  | Perfect (0)     | STABLE       | PREDICTION (Stable)
36601.75     | LEPTON     | 349  | Vector (+1.0)   | 8.5e-19      | PREDICTION (Resonance)
36618.96     | LEPTON     | 353  | Spinor (-0.5)   | 1.6e-18      | PREDICTION (Resonance)
36623.21     | MESON      | 523  | Perfect (0)     | STABLE       | PREDICTION (Stable)
36648.94     | LEPTON     | 352  | Perfect (0)     | STABLE       | PREDICTION (Stable)
36655.64     | LEPTON     | 347  | Sphere (+2.0)   | 4.4e-19      | PREDICTION (Resonance)
36693.23     | MESON      | 524  | Perfect (0)     | STABLE       | PREDICTION (Stable)
36701.43     | BARYON     | 233  | Vector (+1.0)   | 6.4e-18      | PREDICTION (Resonance)
36748.30     | BARYON     | 235  | Perfect (0)     | STABLE       | PREDICTION (Stable)
36753.06     | LEPTON     | 353  | Perfect (0)     | STABLE       | PREDICTION (Stable)
36763.26     | MESON      | 525  | Perfect (0)     | STABLE       | PREDICTION (Stable)
36828.34     | BARYON     | 239  | Sphere (-2.0)   | 2.8e-18      | PREDICTION (Resonance)
36832.24     | LEPTON     | 359  | Sphere (-2.0)   | 3.7e-19      | PREDICTION (Resonance)
36833.28     | MESON      | 526  | Perfect (0)     | STABLE       | PREDICTION (Stable)
36857.18     | LEPTON     | 354  | Perfect (0)     | STABLE       | PREDICTION (Stable)
36866.92     | LEPTON     | 349  | Sphere (+2.0)   | 4.3e-19      | PREDICTION (Resonance)
36887.16     | LEPTON     | 353  | Spinor (+0.5)   | 1.6e-18      | PREDICTION (Resonance)
36903.31     | MESON      | 527  | Perfect (0)     | STABLE       | PREDICTION (Stable)
36904.67     | BARYON     | 236  | Perfect (0)     | STABLE       | PREDICTION (Stable)
36961.29     | LEPTON     | 355  | Perfect (0)     | STABLE       | PREDICTION (Stable)
36967.31     | BARYON     | 233  | Sphere (+2.0)   | 3.2e-18      | PREDICTION (Resonance)
36973.33     | MESON      | 528  | Perfect (0)     | STABLE       | PREDICTION (Stable)
37021.26     | LEPTON     | 353  | Vector (+1.0)   | 8.0e-19      | PREDICTION (Resonance)
37043.36     | MESON      | 529  | Perfect (0)     | STABLE       | PREDICTION (Stable)
37061.05     | BARYON     | 237  | Perfect (0)     | STABLE       | PREDICTION (Stable)
37065.41     | LEPTON     | 356  | Perfect (0)     | STABLE       | PREDICTION (Stable)
37101.07     | BARYON     | 239  | Vector (-1.0)   | 5.6e-18      | PREDICTION (Resonance)
37105.00     | LEPTON     | 359  | Vector (-1.0)   | 7.3e-19      | PREDICTION (Resonance)
37113.38     | MESON      | 530  | Perfect (0)     | STABLE       | PREDICTION (Stable)
37136.53     | BARYON     | 241  | Sphere (-2.0)   | 2.7e-18      | PREDICTION (Resonance)
37169.52     | LEPTON     | 357  | Perfect (0)     | STABLE       | PREDICTION (Stable)
37183.41     | MESON      | 531  | Perfect (0)     | STABLE       | PREDICTION (Stable)
37217.43     | BARYON     | 238  | Perfect (0)     | STABLE       | PREDICTION (Stable)
37237.44     | BARYON     | 239  | Spinor (-0.5)   | 1.1e-17      | PREDICTION (Resonance)
37241.38     | LEPTON     | 359  | Spinor (-0.5)   | 1.5e-18      | PREDICTION (Resonance)
37253.43     | MESON      | 532  | Perfect (0)     | STABLE       | PREDICTION (Stable)
37273.64     | LEPTON     | 358  | Perfect (0)     | STABLE       | PREDICTION (Stable)
37289.46     | LEPTON     | 353  | Sphere (+2.0)   | 4.1e-19      | PREDICTION (Resonance)
37323.46     | MESON      | 533  | Perfect (0)     | STABLE       | PREDICTION (Stable)
37373.80     | BARYON     | 239  | Perfect (0)     | STABLE       | PREDICTION (Stable)
37377.76     | LEPTON     | 359  | Perfect (0)     | STABLE       | PREDICTION (Stable)
37393.48     | MESON      | 534  | Perfect (0)     | STABLE       | PREDICTION (Stable)
37411.54     | BARYON     | 241  | Vector (-1.0)   | 5.4e-18      | PREDICTION (Resonance)
37463.51     | MESON      | 535  | Perfect (0)     | STABLE       | PREDICTION (Stable)
37481.87     | LEPTON     | 360  | Perfect (0)     | STABLE       | PREDICTION (Stable)
37510.17     | BARYON     | 239  | Spinor (+0.5)   | 1.1e-17      | PREDICTION (Resonance)
37514.14     | LEPTON     | 359  | Spinor (+0.5)   | 1.5e-18      | PREDICTION (Resonance)
37530.18     | BARYON     | 240  | Perfect (0)     | STABLE       | PREDICTION (Stable)
37533.53     | MESON      | 536  | Perfect (0)     | STABLE       | PREDICTION (Stable)
37549.05     | BARYON     | 241  | Spinor (-0.5)   | 1.1e-17      | PREDICTION (Resonance)
37585.99     | LEPTON     | 361  | Perfect (0)     | STABLE       | PREDICTION (Stable)
37603.56     | MESON      | 537  | Perfect (0)     | STABLE       | PREDICTION (Stable)
37646.53     | BARYON     | 239  | Vector (+1.0)   | 5.7e-18      | PREDICTION (Resonance)
37650.52     | LEPTON     | 359  | Vector (+1.0)   | 7.4e-19      | PREDICTION (Resonance)
37653.01     | LEPTON     | 367  | Sphere (-2.0)   | 3.3e-19      | PREDICTION (Resonance)
37673.59     | MESON      | 538  | Perfect (0)     | STABLE       | PREDICTION (Stable)
37686.55     | BARYON     | 241  | Perfect (0)     | STABLE       | PREDICTION (Stable)
37690.11     | LEPTON     | 362  | Perfect (0)     | STABLE       | PREDICTION (Stable)
37743.61     | MESON      | 539  | Perfect (0)     | STABLE       | PREDICTION (Stable)
37794.22     | LEPTON     | 363  | Perfect (0)     | STABLE       | PREDICTION (Stable)
37813.64     | MESON      | 540  | Perfect (0)     | STABLE       | PREDICTION (Stable)
37824.06     | BARYON     | 241  | Spinor (+0.5)   | 1.1e-17      | PREDICTION (Resonance)
37842.93     | BARYON     | 242  | Perfect (0)     | STABLE       | PREDICTION (Stable)
37883.66     | MESON      | 541  | Perfect (0)     | STABLE       | PREDICTION (Stable)
37898.34     | LEPTON     | 364  | Perfect (0)     | STABLE       | PREDICTION (Stable)
37919.26     | BARYON     | 239  | Sphere (+2.0)   | 2.9e-18      | PREDICTION (Resonance)
37923.27     | LEPTON     | 359  | Sphere (+2.0)   | 3.7e-19      | PREDICTION (Resonance)
37931.85     | LEPTON     | 367  | Vector (-1.0)   | 6.6e-19      | PREDICTION (Resonance)
37953.69     | MESON      | 542  | Perfect (0)     | STABLE       | PREDICTION (Stable)
37961.56     | BARYON     | 241  | Vector (+1.0)   | 5.4e-18      | PREDICTION (Resonance)
37999.30     | BARYON     | 243  | Perfect (0)     | STABLE       | PREDICTION (Stable)
38002.45     | LEPTON     | 365  | Perfect (0)     | STABLE       | PREDICTION (Stable)
38023.71     | MESON      | 543  | Perfect (0)     | STABLE       | PREDICTION (Stable)
38071.27     | LEPTON     | 367  | Spinor (-0.5)   | 1.3e-18      | PREDICTION (Resonance)
38093.74     | MESON      | 544  | Perfect (0)     | STABLE       | PREDICTION (Stable)
38106.57     | LEPTON     | 366  | Perfect (0)     | STABLE       | PREDICTION (Stable)
38155.68     | BARYON     | 244  | Perfect (0)     | STABLE       | PREDICTION (Stable)
38163.76     | MESON      | 545  | Perfect (0)     | STABLE       | PREDICTION (Stable)
38210.69     | LEPTON     | 367  | Perfect (0)     | STABLE       | PREDICTION (Stable)
38233.79     | MESON      | 546  | Perfect (0)     | STABLE       | PREDICTION (Stable)
38236.58     | BARYON     | 241  | Sphere (+2.0)   | 2.7e-18      | PREDICTION (Resonance)
38268.59     | LEPTON     | 373  | Sphere (-2.0)   | 3.0e-19      | PREDICTION (Resonance)
38303.81     | MESON      | 547  | Perfect (0)     | STABLE       | PREDICTION (Stable)
38312.06     | BARYON     | 245  | Perfect (0)     | STABLE       | PREDICTION (Stable)
38314.80     | LEPTON     | 368  | Perfect (0)     | STABLE       | PREDICTION (Stable)
38350.11     | LEPTON     | 367  | Spinor (+0.5)   | 1.3e-18      | PREDICTION (Resonance)
38373.84     | MESON      | 548  | Perfect (0)     | STABLE       | PREDICTION (Stable)
38418.92     | LEPTON     | 369  | Perfect (0)     | STABLE       | PREDICTION (Stable)
38443.86     | MESON      | 549  | Perfect (0)     | STABLE       | PREDICTION (Stable)
38468.43     | BARYON     | 246  | Perfect (0)     | STABLE       | PREDICTION (Stable)
38489.52     | LEPTON     | 367  | Vector (+1.0)   | 6.6e-19      | PREDICTION (Resonance)
38513.89     | MESON      | 550  | Perfect (0)     | STABLE       | PREDICTION (Stable)
38523.04     | LEPTON     | 370  | Perfect (0)     | STABLE       | PREDICTION (Stable)
38551.99     | LEPTON     | 373  | Vector (-1.0)   | 6.1e-19      | PREDICTION (Resonance)
38583.91     | MESON      | 551  | Perfect (0)     | STABLE       | PREDICTION (Stable)
38624.81     | BARYON     | 247  | Perfect (0)     | STABLE       | PREDICTION (Stable)
38627.15     | LEPTON     | 371  | Perfect (0)     | STABLE       | PREDICTION (Stable)
38653.94     | MESON      | 552  | Perfect (0)     | STABLE       | PREDICTION (Stable)
38677.46     | BARYON     | 251  | Sphere (-2.0)   | 2.2e-18      | PREDICTION (Resonance)
38693.69     | LEPTON     | 373  | Spinor (-0.5)   | 1.2e-18      | PREDICTION (Resonance)
38723.96     | MESON      | 553  | Perfect (0)     | STABLE       | PREDICTION (Stable)
38731.27     | LEPTON     | 372  | Perfect (0)     | STABLE       | PREDICTION (Stable)
38768.36     | LEPTON     | 367  | Sphere (+2.0)   | 3.3e-19      | PREDICTION (Resonance)
38781.18     | BARYON     | 248  | Perfect (0)     | STABLE       | PREDICTION (Stable)
38793.99     | MESON      | 554  | Perfect (0)     | STABLE       | PREDICTION (Stable)
38835.39     | LEPTON     | 373  | Perfect (0)     | STABLE       | PREDICTION (Stable)
38864.01     | MESON      | 555  | Perfect (0)     | STABLE       | PREDICTION (Stable)
38884.18     | LEPTON     | 379  | Sphere (-2.0)   | 2.8e-19      | PREDICTION (Resonance)
38934.04     | MESON      | 556  | Perfect (0)     | STABLE       | PREDICTION (Stable)
38937.56     | BARYON     | 249  | Perfect (0)     | STABLE       | PREDICTION (Stable)
38939.50     | LEPTON     | 374  | Perfect (0)     | STABLE       | PREDICTION (Stable)
38963.89     | BARYON     | 251  | Vector (-1.0)   | 4.4e-18      | PREDICTION (Resonance)
38977.08     | LEPTON     | 373  | Spinor (+0.5)   | 1.2e-18      | PREDICTION (Resonance)
39004.07     | MESON      | 557  | Perfect (0)     | STABLE       | PREDICTION (Stable)
39043.62     | LEPTON     | 375  | Perfect (0)     | STABLE       | PREDICTION (Stable)
39074.09     | MESON      | 558  | Perfect (0)     | STABLE       | PREDICTION (Stable)
39093.93     | BARYON     | 250  | Perfect (0)     | STABLE       | PREDICTION (Stable)
39107.10     | BARYON     | 251  | Spinor (-0.5)   | 8.8e-18      | PREDICTION (Resonance)
39118.78     | LEPTON     | 373  | Vector (+1.0)   | 6.1e-19      | PREDICTION (Resonance)
39144.12     | MESON      | 559  | Perfect (0)     | STABLE       | PREDICTION (Stable)
39147.73     | LEPTON     | 376  | Perfect (0)     | STABLE       | PREDICTION (Stable)
39172.13     | LEPTON     | 379  | Vector (-1.0)   | 5.6e-19      | PREDICTION (Resonance)
39214.14     | MESON      | 560  | Perfect (0)     | STABLE       | PREDICTION (Stable)
39250.31     | BARYON     | 251  | Perfect (0)     | STABLE       | PREDICTION (Stable)
39251.85     | LEPTON     | 377  | Perfect (0)     | STABLE       | PREDICTION (Stable)
39284.17     | MESON      | 561  | Perfect (0)     | STABLE       | PREDICTION (Stable)
39294.56     | LEPTON     | 383  | Sphere (-2.0)   | 2.7e-19      | PREDICTION (Resonance)
39316.11     | LEPTON     | 379  | Spinor (-0.5)   | 1.1e-18      | PREDICTION (Resonance)
39354.19     | MESON      | 562  | Perfect (0)     | STABLE       | PREDICTION (Stable)
