Theory_MeV,Scale_Type,k_Node,Is_Prime,Stability_Score,Status,Match_Name,Error_Percent
2186.4426,LEPTON (N),21,False,30,NOISE,,
2189.2603,BARYON (Pi^5),14,False,60,RESONANCE,,
2240.8081,MESON (A^-1),32,False,40,CONFIRMED,Lambda_c,2.0373
2290.5589,LEPTON (N),22,False,30,CONFIRMED,Lambda_c,0.1789
2310.8333,MESON (A^-1),33,False,40,CONFIRMED,Lambda_c,1.0547
2345.6361,BARYON (Pi^5),15,False,60,RESONANCE,,
2380.8586,MESON (A^-1),34,False,40,NOISE,,
2394.6752,LEPTON (N),23,True,60,RESONANCE,,
2450.8838,MESON (A^-1),35,False,40,NOISE,,
2498.7916,LEPTON (N),24,False,30,NOISE,,
2502.0118,BARYON (Pi^5),16,False,60,RESONANCE,,
2520.9091,MESON (A^-1),36,False,40,NOISE,,
2590.9343,MESON (A^-1),37,True,70,CONFIRMED,Xi_c(2645),2.0867
2602.9079,LEPTON (N),25,False,30,CONFIRMED,Xi_c(2645),1.6171
2658.3875,BARYON (Pi^5),17,True,90,CONFIRMED,Xi_c(2645),0.5036
2660.9596,MESON (A^-1),38,False,40,CONFIRMED,Xi_c(2645),0.5998
2707.0242,LEPTON (N),26,False,30,CONFIRMED,Xi_c(2645),2.2912
2730.9848,MESON (A^-1),39,False,40,NOISE,,
2801.0101,MESON (A^-1),40,False,40,NOISE,,
2811.1405,LEPTON (N),27,False,30,NOISE,,
2814.7633,BARYON (Pi^5),18,False,60,RESONANCE,,
2871.0353,MESON (A^-1),41,True,70,PREDICTION,,
2915.2568,LEPTON (N),28,False,30,CONFIRMED,Eta_c,2.3237
2941.0606,MESON (A^-1),42,False,40,CONFIRMED,Eta_c,1.4260
2971.1390,BARYON (Pi^5),19,True,90,CONFIRMED,Eta_c,0.3992
3011.0858,MESON (A^-1),43,True,70,CONFIRMED,Eta_c,0.9327
3019.3731,LEPTON (N),29,True,60,CONFIRMED,Eta_c,1.2047
3081.1111,MESON (A^-1),44,False,40,CONFIRMED,J/Psi,0.5124
3123.4895,LEPTON (N),30,False,30,CONFIRMED,J/Psi,0.8513
3127.5148,BARYON (Pi^5),20,False,60,CONFIRMED,J/Psi,0.9789
3151.1363,MESON (A^-1),45,False,40,CONFIRMED,J/Psi,1.7212
3221.1616,MESON (A^-1),46,False,40,NOISE,,
3227.6058,LEPTON (N),31,True,60,RESONANCE,,
3283.8905,BARYON (Pi^5),21,False,60,RESONANCE,,
3291.1868,MESON (A^-1),47,True,70,PREDICTION,,
3331.7221,LEPTON (N),32,False,30,NOISE,,
3361.2121,MESON (A^-1),48,False,40,NOISE,,
3431.2373,MESON (A^-1),49,False,40,NOISE,,
3435.8384,LEPTON (N),33,False,30,NOISE,,
3440.2662,BARYON (Pi^5),22,False,60,RESONANCE,,
3501.2626,MESON (A^-1),50,False,40,NOISE,,
3539.9547,LEPTON (N),34,False,30,NOISE,,
3571.2878,MESON (A^-1),51,False,40,NOISE,,
3596.6420,BARYON (Pi^5),23,True,90,CONFIRMED,Psi(2S),2.4845
3641.3131,MESON (A^-1),52,False,40,CONFIRMED,Psi(2S),1.2272
