SIMULATION LOG - STABLE CANDIDATES ONLY
VACUUM_FREQ: 137.035999
------------------------------------------------------------
FREQ_HZ      | RATIO (w/vac)   | MAX_STRAIN   | STATUS
13.4396      | 0.098074        | 0.999716     | STABLE
13.4695      | 0.098292        | 0.999892     | STABLE
13.4994      | 0.098510        | 0.999999     | STABLE
13.5294      | 0.098728        | 0.999966     | STABLE
13.5593      | 0.098947        | 0.999865     | STABLE
13.5892      | 0.099165        | 0.999877     | STABLE
13.6191      | 0.099383        | 0.999913     | STABLE
13.6490      | 0.099601        | 0.999796     | STABLE
13.6789      | 0.099820        | 0.999904     | STABLE
13.7088      | 0.100038        | 0.999613     | STABLE
13.7387      | 0.100256        | 0.999913     | STABLE
13.7686      | 0.100474        | 0.999897     | STABLE
13.7985      | 0.100692        | 0.999905     | STABLE
13.8284      | 0.100911        | 0.999609     | STABLE
13.8583      | 0.101129        | 0.999853     | STABLE
13.8882      | 0.101347        | 0.999683     | STABLE
13.9181      | 0.101565        | 0.999876     | STABLE
13.9480      | 0.101783        | 0.999927     | STABLE
13.9779      | 0.102002        | 0.999853     | STABLE
14.0078      | 0.102220        | 0.999865     | STABLE
14.0377      | 0.102438        | 0.999885     | STABLE
14.0676      | 0.102656        | 0.999919     | STABLE
14.0975      | 0.102874        | 0.999891     | STABLE
14.1274      | 0.103093        | 0.999917     | STABLE
14.1573      | 0.103311        | 0.999882     | STABLE
14.1872      | 0.103529        | 1.000000     | STABLE
14.2171      | 0.103747        | 0.995421     | STABLE
14.2470      | 0.103966        | 0.999940     | STABLE
14.2769      | 0.104184        | 0.999885     | STABLE
14.3068      | 0.104402        | 0.999991     | STABLE
14.3367      | 0.104620        | 0.999816     | STABLE
14.3666      | 0.104838        | 0.999965     | STABLE
14.3965      | 0.105057        | 0.999812     | STABLE
14.4264      | 0.105275        | 0.999938     | STABLE
14.4563      | 0.105493        | 0.999965     | STABLE
14.4862      | 0.105711        | 0.999952     | STABLE
14.5162      | 0.105929        | 0.999966     | STABLE
14.5461      | 0.106148        | 0.999815     | STABLE
14.5760      | 0.106366        | 0.999905     | STABLE
14.6059      | 0.106584        | 0.999724     | STABLE
14.6358      | 0.106802        | 0.999734     | STABLE
14.6657      | 0.107021        | 0.999953     | STABLE
14.6956      | 0.107239        | 0.999855     | STABLE
14.7255      | 0.107457        | 0.999997     | STABLE
14.7554      | 0.107675        | 0.999717     | STABLE
14.7853      | 0.107893        | 0.999973     | STABLE
14.8152      | 0.108112        | 0.999997     | STABLE
14.8451      | 0.108330        | 0.999986     | STABLE
14.8750      | 0.108548        | 0.999989     | STABLE
14.9049      | 0.108766        | 0.999733     | STABLE
14.9348      | 0.108984        | 0.999955     | STABLE
14.9647      | 0.109203        | 0.999963     | STABLE
14.9946      | 0.109421        | 0.999981     | STABLE
15.0245      | 0.109639        | 0.999965     | STABLE
15.0544      | 0.109857        | 0.999995     | STABLE
15.0843      | 0.110076        | 0.999914     | STABLE
15.1142      | 0.110294        | 0.999946     | STABLE
15.1441      | 0.110512        | 0.999993     | STABLE
15.1740      | 0.110730        | 0.999970     | STABLE
15.2039      | 0.110948        | 0.999768     | STABLE
15.2338      | 0.111167        | 0.999896     | STABLE
15.2637      | 0.111385        | 0.999773     | STABLE
15.2936      | 0.111603        | 0.999943     | STABLE
15.3235      | 0.111821        | 0.999920     | STABLE
15.3534      | 0.112039        | 0.999794     | STABLE
15.3833      | 0.112258        | 0.999965     | STABLE
15.4132      | 0.112476        | 0.999808     | STABLE
15.4431      | 0.112694        | 0.999954     | STABLE
15.4730      | 0.112912        | 0.999875     | STABLE
15.5030      | 0.113130        | 0.999889     | STABLE
15.5329      | 0.113349        | 0.999975     | STABLE
15.5628      | 0.113567        | 0.999942     | STABLE
15.5927      | 0.113785        | 0.999951     | STABLE
15.6226      | 0.114003        | 0.999851     | STABLE
15.6525      | 0.114222        | 0.999957     | STABLE
15.6824      | 0.114440        | 0.999902     | STABLE
15.7123      | 0.114658        | 0.999948     | STABLE
15.7422      | 0.114876        | 0.999996     | STABLE
15.7721      | 0.115094        | 0.999960     | STABLE
15.8020      | 0.115313        | 0.999895     | STABLE
15.8319      | 0.115531        | 0.999610     | STABLE
15.8618      | 0.115749        | 0.999572     | STABLE
15.8917      | 0.115967        | 0.999711     | STABLE
15.9216      | 0.116185        | 0.999999     | STABLE
15.9515      | 0.116404        | 0.999986     | STABLE
15.9814      | 0.116622        | 0.999982     | STABLE
16.0113      | 0.116840        | 0.999935     | STABLE
16.0412      | 0.117058        | 0.999885     | STABLE
16.0711      | 0.117277        | 0.999937     | STABLE
16.1010      | 0.117495        | 0.999965     | STABLE
16.1309      | 0.117713        | 0.999948     | STABLE
16.1608      | 0.117931        | 0.998166     | STABLE
16.1907      | 0.118149        | 0.999973     | STABLE
16.2206      | 0.118368        | 0.999663     | STABLE
16.2505      | 0.118586        | 0.999986     | STABLE
16.2804      | 0.118804        | 0.999982     | STABLE
16.3103      | 0.119022        | 0.999650     | STABLE
16.3402      | 0.119240        | 0.999997     | STABLE
16.3701      | 0.119459        | 0.999782     | STABLE
16.4000      | 0.119677        | 0.999864     | STABLE
16.4299      | 0.119895        | 0.999981     | STABLE
16.4598      | 0.120113        | 0.999989     | STABLE
16.4897      | 0.120332        | 0.999909     | STABLE
16.5197      | 0.120550        | 0.999881     | STABLE
16.5496      | 0.120768        | 0.999572     | STABLE
16.5795      | 0.120986        | 0.999902     | STABLE
16.6094      | 0.121204        | 0.999862     | STABLE
16.6393      | 0.121423        | 0.999859     | STABLE
16.6692      | 0.121641        | 0.999918     | STABLE
16.6991      | 0.121859        | 0.999988     | STABLE
16.7290      | 0.122077        | 0.999977     | STABLE
16.7589      | 0.122295        | 0.999997     | STABLE
16.7888      | 0.122514        | 0.999974     | STABLE
16.8187      | 0.122732        | 0.999955     | STABLE
16.8486      | 0.122950        | 0.999916     | STABLE
16.8785      | 0.123168        | 0.999988     | STABLE
16.9084      | 0.123386        | 0.999986     | STABLE
16.9383      | 0.123605        | 0.999999     | STABLE
